Style_id,Yarn_ID,BOM_Percent,unit
16768/01B,,0,lbs
16768/01B,10024,0.3,lbs
16768/01B,11697,0.01,lbs
16768/01B,11759,0.02,lbs
16768/01B,13647,0.13,lbs
16768/01B,14585,0.25,lbs
16769/01A,,0,lbs
16769/01A,10024,0.3,lbs
16769/01A,11697,0.01,lbs
16769/01A,11759,0.02,lbs
16769/01A,11762,0.25,lbs
16769/01A,13650,0.13,lbs
16770/01A,,0,lbs
16770/01A,10024,0.3,lbs
16770/01A,11697,0.01,lbs
16770/01A,11759,0.02,lbs
16770/01A,11762,0.25,lbs
16770/01A,13650,0.13,lbs
16771/01A,,0,lbs
16771/01A,10024,0.3,lbs
16771/01A,11697,0.01,lbs
16771/01A,11759,0.02,lbs
16771/01A,11762,0.25,lbs
16771/01A,13650,0.13,lbs
16772/01A,,0,lbs
16772/01A,10024,0.3,lbs
16772/01A,11697,0.01,lbs
16772/01A,11759,0.02,lbs
16772/01A,13259,0.25,lbs
16772/01A,13650,0.13,lbs
16773/01A,,0,lbs
16773/01A,10024,0.3,lbs
16773/01A,11697,0.01,lbs
16773/01A,11759,0.02,lbs
16773/01A,11762,0.25,lbs
16773/01A,13650,0.13,lbs
16774/01A,,0,lbs
16774/01A,10024,0.3,lbs
16774/01A,11697,0.01,lbs
16774/01A,11759,0.02,lbs
16774/01A,13259,0.25,lbs
16774/01A,13650,0.13,lbs
16779/01A,,0,lbs
16779/01A,10024,0.3,lbs
16779/01A,11697,0.01,lbs
16779/01A,11759,0.02,lbs
16779/01A,11762,0.25,lbs
16779/01A,13650,0.13,lbs
16783/01A,,0,lbs
16783/01A,10024,0.3,lbs
16783/01A,11697,0.01,lbs
16783/01A,11759,0.02,lbs
16783/01A,11762,0.25,lbs
16783/01A,13650,0.13,lbs
16785/01A,,0,lbs
16785/01A,10024,0.3,lbs
16785/01A,11697,0.01,lbs
16785/01A,11759,0.02,lbs
16785/01A,11762,0.25,lbs
16785/01A,13650,0.13,lbs
16789/01A,,0,lbs
16789/01A,10024,0.3,lbs
16789/01A,11697,0.01,lbs
16789/01A,11759,0.02,lbs
16789/01A,11762,0.25,lbs
16789/01A,13650,0.13,lbs
16846/01A,,0,lbs
16846/01A,14061,0.02,lbs
16846/01A,14253,0.51,lbs
16846/01A,14517,0.47,lbs
16847/01A,,0,lbs
16847/01A,14061,0.02,lbs
16847/01A,14253,0.51,lbs
16847/01A,14517,0.47,lbs
16848/01A,,0,lbs
16848/01A,14061,0.02,lbs
16848/01A,14253,0.51,lbs
16848/01A,14517,0.47,lbs
16900/01A,,0,lbs
16900/01A,10024,0.31,lbs
16900/01A,11697,0.03,lbs
16900/01A,13258,0.27,lbs
16900/01A,13565,0.1,lbs
16901/01A,,0,lbs
16901/01A,10024,0.31,lbs
16901/01A,11697,0.03,lbs
16901/01A,13258,0.27,lbs
16901/01A,13565,0.1,lbs
16903/01,,0,lbs
16903/01,10024,0.31,lbs
16903/01,11697,0.01,lbs
16903/01,11759,0.02,lbs
16903/01,13565,0.1,lbs
16903/01,14190,0.27,lbs
16904/01,,0,lbs
16904/01,10024,0.3,lbs
16904/01,11697,0.01,lbs
16904/01,11759,0.02,lbs
16904/01,12123,0.25,lbs
16904/01,13647,0.13,lbs
16998/01A,,0,lbs
16998/01A,10024,0.3,lbs
16998/01A,11697,0.01,lbs
16998/01A,11759,0.02,lbs
16998/01A,13259,0.25,lbs
16998/01A,13650,0.13,lbs
16998/01AB,,0,lbs
16998/01AB,10024,0.3,lbs
16998/01AB,11697,0.01,lbs
16998/01AB,11759,0.02,lbs
16998/01AB,14398,0.25,lbs
16998/01AB,14553,0.25,lbs
16998/01AB,14674,0.13,lbs
16998/01B,,0,lbs
16998/01B,10024,0.3,lbs
16998/01B,11697,0.01,lbs
16998/01B,11759,0.02,lbs
16998/01B,13527,0.25,lbs
16998/01B,13647,0.13,lbs
17034/01A,,0,lbs
17034/01A,10024,0.3,lbs
17034/01A,11697,0.01,lbs
17034/01A,11759,0.02,lbs
17034/01A,13259,0.26,lbs
17034/01A,13649,0.1,lbs
17034/01A,14183,0.28,lbs
17034/01B,,0,lbs
17034/01B,10024,0.3,lbs
17034/01B,11697,0.01,lbs
17034/01B,11759,0.02,lbs
17034/01B,13407,0.1,lbs
17034/01B,14519,0.28,lbs
17034/01B,14561,0.26,lbs
17068/01A,,0,lbs
17068/01A,10024,0.3,lbs
17068/01A,11697,0.01,lbs
17068/01A,11759,0.02,lbs
17068/01A,13258,0.25,lbs
17068/01A,13649,0.13,lbs
17403/01A,,0,lbs
17403/01A,10024,0.3,lbs
17403/01A,11697,0.01,lbs
17403/01A,11759,0.02,lbs
17403/01A,11762,0.26,lbs
17403/01A,13650,0.12,lbs
17404/01A,,0,lbs
17404/01A,11697,0.01,lbs
17404/01A,11759,0.02,lbs
17404/01A,13259,0.23,lbs
17404/01A,13259,0.24,lbs
17404/01A,13649,0.09,lbs
17404/01A,18246,0.39,lbs
17405/01A,,0,lbs
17405/01A,10024,0.28,lbs
17405/01A,11697,0.03,lbs
17405/01A,13649,0.11,lbs
17405/01A,14587,0.27,lbs
17405/01A,14587,0.28,lbs
17413/01A,,0,lbs
17413/01A,10024,0.29,lbs
17413/01A,11697,0.01,lbs
17413/01A,11759,0.02,lbs
17413/01A,13572,0.04,lbs
17413/01A,13649,0.08,lbs
17413/01A,13993,0.52,lbs
17414/01A,,0,lbs
17414/01A,10024,0.3,lbs
17414/01A,11697,0.01,lbs
17414/01A,11759,0.02,lbs
17414/01A,13620,0.12,lbs
17414/01A,14587,0.26,lbs
17415/01A,,0,lbs
17415/01A,10024,0.3,lbs
17415/01A,11697,0.01,lbs
17415/01A,11759,0.02,lbs
17415/01A,11762,0.26,lbs
17415/01A,13649,0.12,lbs
17418/01A,,0,lbs
17418/01A,10024,0.3,lbs
17418/01A,11697,0.01,lbs
17418/01A,11759,0.02,lbs
17418/01A,13993,0.26,lbs
17418/01A,14595,0.12,lbs
17438/01A,,0,lbs
17438/01A,11697,0.01,lbs
17438/01A,11759,0.02,lbs
17438/01A,13259,0.24,lbs
17438/01A,14595,0.09,lbs
17438/01A,18246,0.37,lbs
17510/01,,0,lbs
17510/01,14510,0.92,lbs
17510/01,14620,0.07,lbs
17511/01S,,0,lbs
17511/01S,10027,0.95,lbs
17511/01S,14621,0.04,lbs
180000/1,,0,lbs
180000/1,11759,0.28,lbs
180000/1,18320,0.13,lbs
180000/1,18707,0.58,lbs
180000/CS,,0,lbs
180000/CS,18320,0.13,lbs
180000/CS,18593,0.28,lbs
180000/CS,18707,0.58,lbs
180001/20ST2,,0,lbs
180001/20ST2,18320,0.13,lbs
180001/20ST2,18707,0.57,lbs
180001/20ST2,18708,0.29,lbs
180001/STR,,0,lbs
180001/STR,18320,0.12,lbs
180001/STR,18707,0.58,lbs
180001/STR,18708,0.28,lbs
18164/01,,0,lbs
18164/01,13567,0.95,lbs
18164/01,14621,0.04,lbs
1853/L,,0,lbs
1853/L,18669,0.24,lbs
1853/L,18669,0.27,lbs
1853/L,18669,0.48,lbs
18719/01A,,0,lbs
18719/01A,14621,0.09,lbs
18719/01A,14716,0.9,lbs
18720/01A,,0,lbs
18720/01A,10027,0.47,lbs
18720/01A,14621,0.09,lbs
18720/01A,14716,0.43,lbs
18721/01A,,0,lbs
18721/01A,10027,0.32,lbs
18721/01A,14621,0.09,lbs
18721/01A,14716,0.58,lbs
1874/0,,0,lbs
1874/0,18770,0.3,lbs
1874/0,18770,0.69,lbs
19000/01A,,0,lbs
19000/01A,10027,0.5,lbs
19000/01A,14716,0.44,lbs
19000/01A,14733,0.04,lbs
19001/01A,,0,lbs
19001/01A,10027,0.49,lbs
19001/01A,14716,0.44,lbs
19001/01A,14734,0.06,lbs
19001/01B,,0,lbs
19001/01B,10027,0.49,lbs
19001/01B,14716,0.44,lbs
