Style,Yarn,Percentage,This Week,Week 31,Week 32,Week 33,Week 34,Week 35,Week 36,Week 37,Week 38,Later,Total
C1B4312A/2REC,18865,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8
C1B4312A/2REC,18872,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4
C1B4312A/2REC,18927,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,5.2
C1B4312A/2REC,18929,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
C1B4312A/2REC,18961,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.8
C1B4312A/2REC,19066,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.6
C1B4312A/2RECA,12526,15.9,0.0,0.0,547.1,547.1,547.1,547.1,547.1,547.1,547.1,"1,258.2","5,088.0"
C1B4312A/2RECA,18594,27.9,0.0,0.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,"2,207.7","8,928.0"
C1B4312A/2RECA,18872,8.2,0.0,0.0,282.2,282.2,282.2,282.2,282.2,282.2,282.2,648.9,"2,624.0"
C1B4312A/2RECA,18927,31.7,0.0,0.0,"1,090.8","1,090.8","1,090.8","1,090.8","1,090.8","1,090.8","1,090.8","2,508.4","10,144.0"
C1B4312A/2RECA,18929,0.6,0.0,0.0,20.6,20.6,20.6,20.6,20.6,20.6,20.6,47.5,192.0
C1B4312A/2RECA,18961,10.8,0.0,0.0,371.6,371.6,371.6,371.6,371.6,371.6,371.6,854.6,"3,456.0"
C1B4312A/2RECA,19003,4.9,0.0,0.0,168.6,168.6,168.6,168.6,168.6,168.6,168.6,387.7,"1,568.0"
C1B4312A/2RECU,12526,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.9,267.9
C1B4312A/2RECU,18594,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.1,470.1
C1B4312A/2RECU,18865,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.6,82.6
C1B4312A/2RECU,18872,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.2,138.2
C1B4312A/2RECU,18927,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.1,534.1
C1B4312A/2RECU,18929,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,10.1
C1B4312A/2RECU,18961,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,182.0
C1B4313A/1RECL,12526,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1B4313A/1RECL,18290,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1B4313A/1RECL,18594,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1B4313A/1RECL,18865,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1B4313A/1RECL,18899,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1B4313A/1RECL,18927,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1B4313A/1RECL,18929,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1B4313A/2RECS,18594,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,3.3
C1B4313A/2RECS,18865,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6
C1B4313A/2RECS,18899,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
C1B4313A/2RECS,18927,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,3.7
C1B4313A/2RECS,18929,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
C1B4313A/2RECS,18961,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4
C1B4313A/2RECS,19066,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.9
C1B4313A/3REC,18594,26,0.0,0.0,"1,326.0","1,326.0","1,326.0","1,326.0","1,326.0","1,169.8",0.0,268.6,"8,068.6"
C1B4313A/3REC,18865,4.7,0.0,0.0,239.7,239.7,239.7,239.7,239.7,211.5,0.0,48.6,"1,458.6"
C1B4313A/3REC,18872,9,0.0,0.0,459.0,459.0,459.0,459.0,459.0,404.9,0.0,93.0,"2,793.0"
C1B4313A/3REC,18927,30.1,0.0,0.0,"1,535.2","1,535.2","1,535.2","1,535.2","1,535.2","1,354.2",0.0,310.9,"9,340.9"
C1B4313A/3REC,18929,0.6,0.0,0.0,30.6,30.6,30.6,30.6,30.6,27.0,0.0,6.2,186.2
C1B4313A/3REC,18961,11.8,0.0,0.0,601.8,601.8,601.8,601.8,601.8,530.9,0.0,121.9,"3,661.9"
C1B4313A/3REC,19066,17.8,0.0,0.0,907.8,907.8,907.8,907.8,907.8,800.8,0.0,183.9,"5,523.9"
C1B4313A/3RECD,12526,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.2,799.2
C1B4313A/3RECD,18290,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.8,529.8
C1B4313A/3RECD,18594,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,167.4","1,167.4"
