Customer,SO #,Order #,Roll #,Qty (yds),Qty (lbs),Good Ea.,Bad Ea.,Received
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67759,006775903,126.0,56.9,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67759,006775901,124.0,56.0,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67755,006775508,105.0,47.8,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67755,006775504,130.0,59.2,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67755,006775503,132.0,60.1,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67755,006775501,131.0,59.6,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67754,006775412,9.0,4.0,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67754,006775406,129.0,57.5,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67754,006775405,131.0,58.4,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67754,006775403,125.0,55.7,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67604,006760402,115.0,55.3,0,0,3/31/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67604,006760403,124.0,59.6,0,0,3/31/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67604,006760404,125.0,60.1,0,0,3/31/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67604,006760405,124.0,59.6,0,0,3/31/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67604,006760406,125.0,60.1,0,0,3/31/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67604,006760407,127.0,61.0,0,0,3/31/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67604,006760408,124.0,59.6,0,0,3/31/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67604,006760411,127.0,61.0,0,0,3/31/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67643,006764301,127.0,57.2,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67643,006764302,132.0,59.4,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67643,006764303,131.0,59.0,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67643,006764304,129.0,58.1,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67643,006764305,129.0,58.1,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67643,006764308,134.0,60.3,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67643,006764309,117.0,52.7,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67643,006764310,112.0,50.4,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67643,006764311,21.0,9.5,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67754,006775401,88.0,39.2,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67754,006775402,129.0,57.5,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67754,006775404,126.0,56.1,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67754,006775407,123.0,54.8,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67754,006775408,144.0,64.2,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67754,006775410,128.0,57.0,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67754,006775411,36.0,16.0,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67754,006775413,15.0,6.7,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67755,006775502,132.0,60.1,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67755,006775505,120.0,54.6,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67755,006775506,130.0,59.2,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67755,006775507,128.0,58.2,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67755,006775509,132.0,60.1,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67755,006775510,95.0,43.2,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67755,006775511,59.0,26.8,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67759,006775902,108.0,48.8,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67759,006775904,125.0,56.5,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67759,006775905,121.0,54.7,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67759,006775907,129.0,58.3,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67759,006775908,133.0,60.1,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67759,006775910,80.0,36.2,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67839,006783902,125.0,58.8,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67839,006783903,125.0,58.8,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67839,006783904,127.0,59.8,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67839,006783906,142.0,66.8,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67839,006783907,128.0,60.2,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67839,006783908,124.0,58.4,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67839,006783909,127.0,59.8,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67839,006783910,133.0,62.6,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67643,006764307,95.0,42.8,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67643,006764306,139.0,62.6,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67604,006760409,97.0,46.6,0,0,3/31/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67604,006760410,33.0,15.9,0,0,3/31/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67754,006775409,131.0,58.4,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67839,006783901,122.0,57.4,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2506440,D67839,006783905,119.0,56.0,0,0,4/30/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507418,D67936,006793604,166.0,52.8,0,0,4/16/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507418,D68555,006855503,161.0,51.2,0,0,6/24/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507418,D68513,006851304,160.0,50.8,0,0,6/24/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507418,D68513,006851303,157.0,49.8,0,0,6/24/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507375,D68954,006895404,165.0,51.2,0,0,7/16/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507375,D68954,006895401,157.0,47.6,0,0,7/16/2025
