Style #,Order #,Roll #,Vendor Roll #,Qty (yds),Qty (lbs),Good Ea.,Bad Ea.,Processor,Received
C1B4571-1/0,D69206,006920604,6920604,45.5,70.5,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69206,006920605,6920605,45.4,68.0,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69206,006920606,6920606,45.2,66.9,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69206,006920607,6920607,45.1,67.1,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69206,006920608,6920608,45.5,68.1,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69206,006920609,6920609,45.7,68.8,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69206,006920610,6920610,45.2,67.5,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69206,006920611,6920611,35.2,52.9,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69210,006921001,6921001,45.2,70.5,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69210,006921002,6921002,45.4,69.5,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69210,006921003,6921003,45.4,67.8,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69210,006921004,6921004,45.2,68.5,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69210,006921005,6921005,45.4,66.4,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69210,006921006,6921006,45.6,67.0,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69210,006921007,6921007,45.8,67.2,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69210,006921008,6921008,45.4,66.3,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69210,006921009,6921009,45.3,65.6,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69210,006921010,6921010,45.5,64.1,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69210,006921011,6921011,45.3,64.0,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69210,006921012,6921012,45.3,62.6,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69210,006921013,6921013,45.5,61.9,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69210,006921014,6921014,45.4,61.2,0,0,Altus - Plant 3,7/25/2025
CEE4317-1FI/0,D69190,006919007,6919007,35.8,63.9,0,0,Altus - Plant 3,7/25/2025
CEE4317-1FI/0,D69190,006919008,6919008,35.7,64.6,0,0,Altus - Plant 3,7/25/2025
CEE4317-1FI/0,D69190,006919009,6919009,35.7,63.2,0,0,Altus - Plant 3,7/25/2025
CEE4317-1FI/0,D69190,006919010,6919010,35.2,62.6,0,0,Altus - Plant 3,7/25/2025
CEE4317-1FI/0,D69190,006919006,6919006,35.5,64.0,0,0,Altus - Plant 3,7/25/2025
CEE4317-1FI/0,D69190,006919004,6919004,33.9,61.3,0,0,Altus - Plant 3,7/25/2025
CEE4317-1FI/0,D69190,006919003,6919003,35.8,64.6,0,0,Altus - Plant 3,7/25/2025
CEE4317-1FI/0,D69190,006919002,6919002,35.4,64.6,0,0,Altus - Plant 3,7/25/2025
CEE4317-1FI/0,D69190,006919001,6919001,28.5,53.9,0,0,Altus - Plant 3,7/25/2025
CEE4317-1FI/0,D69190,006919005,6919005,35.7,64.6,0,0,Altus - Plant 3,7/25/2025
CEE4317-1FI/0,D69190,006919012,6919012,26.1,47.0,0,0,Altus - Plant 3,7/25/2025
CEE4317-1FI/0,D69190,006919011,6919011,35.8,63.4,0,0,Altus - Plant 3,7/25/2025
CT2155-1/0,D69151,006915104,6915104,178.0,54.8,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69151,006915103,6915103,174.0,53.4,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69151,006915102,6915102,216.0,66.2,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69151,006915101,6915101,167.0,51.4,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69131,006913101,6913101,167.0,51.4,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69130,006913005,6913005,179.0,55.2,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69130,006913004,6913004,178.0,54.8,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69130,006913003,6913003,170.0,54.4,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69130,006913002,6913002,172.0,55.2,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69130,006913001,6913001,170.0,54.4,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69129,006912907,6912907,163.0,53.0,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69129,006912906,6912906,165.0,53.2,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69129,006912905,6912905,162.0,52.8,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69129,006912904,6912904,161.0,52.4,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69129,006912903,6912903,163.0,53.0,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69129,006912902,6912902,162.0,52.8,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69129,006912901,6912901,163.0,53.0,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69114,006911407,6911407,170.0,51.6,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69114,006911406,6911406,160.0,48.6,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69114,006911405,6911405,170.0,51.6,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69094,006909401,6909401,185.0,57.0,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69174,006917404,6917404,168.0,52.0,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69174,006917403,6917403,168.0,51.8,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69174,006917402,6917402,168.0,51.8,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69174,006917401,6917401,167.0,51.6,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69153,006915303,6915303,159.0,49.0,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69153,006915302,6915302,167.0,51.4,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69153,006915301,6915301,168.0,51.4,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69152,006915203,6915203,178.0,55.0,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69152,006915202,6915202,170.0,52.8,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69152,006915201,6915201,166.0,51.0,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69151,006915105,6915105,177.0,54.8,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69114,006911403,6911403,170.0,51.6,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69114,006911402,6911402,170.0,51.8,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69114,006911401,6911401,169.0,50.8,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69095,006909501,6909501,170.0,52.0,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69093,006909303,6909303,159.0,48.4,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69093,006909302,6909302,167.0,51.2,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69093,006909301,6909301,168.0,50.8,0,0,Altus - Sparta Ct,7/25/2025
CT2155-1/0,D69114,006911404,6911404,170.0,51.6,0,0,Altus - Sparta Ct,7/25/2025
CT3085-1FI/0,D69168,006916816,6916816,55.3,56.2,0,0,Altus - Plant 3,7/25/2025
CT3085-1FI/0,D69168,006916807,6916807,50.7,56.5,0,0,Altus - Plant 3,7/25/2025
CT3085-1FI/0,D69168,006916817,6916817,55.3,58.0,0,0,Altus - Plant 3,7/25/2025
CT3085-1FI/0,D69168,006916819,6916819,58.3,60.0,0,0,Altus - Plant 3,7/25/2025
CT3085-1FI/0,D69168,906916806,6916806,26.2,27.0,0,0,Altus - Plant 3,7/25/2025
CT3085-1FI/0,D69168,006916818,6916818,55.0,58.0,0,0,Altus - Plant 3,7/25/2025
CT3085-1FI/0,D69168,006916804,6916804,50.7,57.4,0,0,Altus - Plant 3,7/25/2025
CT3085-1FI/0,D69168,006916803,6916803,47.9,54.1,0,0,Altus - Plant 3,7/25/2025
CT3085-1FI/0,D69168,006916802,6916802,50.3,54.3,0,0,Altus - Plant 3,7/25/2025
CT3085-1FI/0,D69168,006916801,6916801,47.2,45.2,0,0,Altus - Plant 3,7/25/2025
CT3085-1FI/0,D69168,006916805,6916805,34.3,38.4,0,0,Altus - Plant 3,7/25/2025
CT3085-1FI/0,D69168,006916808,6916808,50.4,54.0,0,0,Altus - Plant 3,7/25/2025
CT3085-1FI/0,D69168,006916809,6916809,50.3,54.0,0,0,Altus - Plant 3,7/25/2025
CT3085-1FI/0,D69168,006916810,6916810,50.6,54.1,0,0,Altus - Plant 3,7/25/2025
CT3085-1FI/0,D69168,006916811,6916811,50.8,53.4,0,0,Altus - Plant 3,7/25/2025
CT3085-1FI/0,D69168,006916812,6916812,55.6,58.0,0,0,Altus - Plant 3,7/25/2025
CT3085-1FI/0,D69168,006916813,6916813,50.0,53.0,0,0,Altus - Plant 3,7/25/2025
CT3085-1FI/0,D69168,006916814,6916814,55.8,58.0,0,0,Altus - Plant 3,7/25/2025
CT3085-1FI/0,D69168,006916815,6916815,55.5,58.3,0,0,Altus - Plant 3,7/25/2025
