Status,CSR,Unit Price,Quoted Date,cFVersion,fBase,On Hold,Ordered,Picked/Shipped,Balance,Available,UOM,SOP,PO #,Sold To,Ship To,Ship Date
Open,Genita Harris,$12.10 (yds),8/1/2025,721SM0470,721SM0470/ALTUS,"<div id='holdButton_24442' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24442,0)'></i></div>",500,0.0,500.0,0.0,yds,SP2506105/1,1007136-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$12.10 (yds),7/18/2025,721SM0470,721SM0470/ALTUS,"<div id='holdButton_25171' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25171,0)'></i></div>",155,0.0,155.0,0.0,yds,SP2506093/1,1007135-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$10.81 (yds),9/1/2025,1SM0470-30G,1SM0470-30G/ALTUS,"<div id='holdButton_24948' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24948,0)'></i></div>",200,0.0,200.0,0.0,yds,SP2504202/1,44430-00,"HFI, LLC",Shawmut of Clinton,
Open,Genita Harris,$14.25 (yds),7/21/2025,1SM0470-30G,1SM0470-30G/ALTUS,"<div id='holdButton_24661' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24661,0)'></i></div>",140,0.0,140.0,0.0,yds,SP2506194/1,P159518,CVG-National Seating,Southern Textiles CVG,
Open,Genita Harris,$10.17 (yds),9/5/2025,1SM0470-30G,1SM0470-30G/ALTUS,"<div id='holdButton_24453' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24453,0)'></i></div>","1,300",0.0,"1,300.0",0.0,yds,SP2506110/1,1007137-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$10.17 (yds),9/19/2025,1SM0470-30G,1SM0470-30G/ALTUS,"<div id='holdButton_24455' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24455,0)'></i></div>","1,300",0.0,"1,300.0",0.0,yds,SP2506110/1,1007137-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$10.17 (yds),8/29/2025,1SM0470-30G,1SM0470-30G/ALTUS,"<div id='holdButton_24452' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24452,0)'></i></div>","1,500",0.0,"1,500.0",0.0,yds,SP2506110/1,1007137-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$10.17 (yds),9/12/2025,1SM0470-30G,1SM0470-30G/ALTUS,"<div id='holdButton_24454' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24454,0)'></i></div>","1,500",0.0,"1,500.0",0.0,yds,SP2506110/1,1007137-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$10.17 (yds),8/8/2025,1SM0470-30G,1SM0470-30G/ALTUS,"<div id='holdButton_24425' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24425,0)'></i></div>","1,300",0.0,"1,300.0",0.0,yds,SP2506096/1,1007136-1,Sears Manufacturing Co.,Sears (River Drive),
Open,Genita Harris,$10.17 (yds),7/18/2025,1SM0470-30G,1SM0470-30G/ALTUS,"<div id='holdButton_24412' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24412,0)'></i></div>","2,520",0.0,"2,520.0",0.0,yds,SP2506090/1,1007135-1,Sears Manufacturing Co.,Sears (River Drive),
